lat,lon,depth,MSSD_id
-15.2255876053352,35.0935626575188,10.1476863894539,315
-15.2255637730081,35.0935884885099,10.151624405254,315
-15.2227832150252,35.094004708524,10.2297994373456,315
-15.2227236177564,35.0939766171816,10.2364831645452,315
-15.1924574641039,35.098078612984,11.1359082616506,315
-15.1924419480427,35.098120150248,11.1310352274903,315
-15.1588623886631,35.1027288705652,12.1361742028378,315
-15.1588515182884,35.1027164009745,12.1345063829726,315
-15.1187763373218,35.1081729973087,13.3353537738019,315
-15.1187763373218,35.1081729973087,13.3353537738019,315
-15.118767749851,35.1081539397575,13.3383497441787,315
-15.118767749851,35.1081539397575,13.3383497441787,315
